1,Maruthamalai,Avarampalayam
1A,1C,Ondipudur,Vadavalli
1D,1E,Ondipudur,Maruthamalai
2,2A,Perur,Polytechnic
2B,Ondipudur,Telungupalayam
2C,Kannapanagar,Perur
2D,Sitra,Kurinji Nagar
3,3A,Ganapathy,Madukkarai
3B,Madukkarai,Saibaba Colony
3C,Ganapathy,Thirumalayampalayam
3D,Ganapathy,Kovaipudur
3E,Gandhipuram,Thirumalayampalayam
3F,Madukkarai,Saibaba Colony
3G,Ganapathy,K. Kavundan Chavadi
3H,ACC,velandipalayam
3K,Ganapathy,Kovaipudur
4,4A,Thudiyalur,Podanur
4B,Ukkadam,Press Colony
4C,Srinivasa Nagar,Saibaba Colony
4F,4G,Ondipudur,Thudiyalur
4H,Railway Station,Press Colony
4K,Thudiyalur,Selvapuram
4M,Thudiyalur,Nanjundapuram
5,Sivananda Colony,Sivananda Colony
50,Flower Market,Flower Market
6,Gandhi Park,Gandhi Park
6A,Gandhipuram,Perianaickanpalayam
7,7C,Gandhi Park,Gandhi Park
8,Chettipalayam,Singanallur
8A,Podanur,Chinthamanipudur
8F,Madukkarai,Saibaba Colony
9,Sundakamuthur,Krishnammal College
10,Saibaba Colony,Chinniampalayam
10A,Town Hall,Madhapur
10B,Saibaba Colony,Kalapatti
11,Railway Station,Kanuvai
11A,Ukkadam,Anuvavi Subramani Temple
11B,Railway Station,Veerapandipudur
11c,Railway Station,Somaiyanpalayam
11F,Railway Station,Edayarpalayam
12,Gandhipuram,Premier Mills
12A,Gandhipuram,Arisipalayam
12B,Railway Station,Kinathukadavu
12C,Eachanari,Polytechnic
12D,Gandhipuram,Nachipaiayam
12E,Ukkadam,Velanthavalam
13A,Ukkadam,Koiathur
13B,13C,Ukkadam,Thudiyalur
14,Railway Station,Nadhegoundanpudur
14A,Town Hall,Semmedu
14B,Railway Station,Semmedu
15,Sivanandha Mills,Kuniamuthur
15A,KovaiPudur,Srinivasa Nagar
16,Town Hall,Airport
16A,Saibaba Colony,Aerodrome
16B,Saibaba Colony,PSG Arts College
17,Lakshmi Mills,Velanthavalam
18,Gandhipuram,Arisipalayam
19,Ukkadam,Nanjundapuram
19A,Saibaba Colony,Vellalore
19B,Ukkadam,Sulur Aerodrome
19D,Gandhipuram,Appanaickenpatti
20,Aerodrome,TVS Nagar
20A,Chinniampalayam,TVS Nagar
20B,SIHS Colony,Saibaba Colony
2OC,Poochiyur,Saibaba Colony
21,Gandhipuram,Kembanur
21C,Devarayapuram,Thondamuthur
22,Sowripalayam,Sugarcane Institute
22A,Sugarcane Institute,Kovai Medical Center
23,Velialur,Varadharajapuram
23A,Gandhipuram,Varadhrajapuram
24,Ukkadam,Kalapatti
24A,Ukkadam,Serayampalayam
25,Perur,Saibaba Colony
26,Ukkadam,Veerapandipudur
26A,Thondamuthur,Edayarpalayam
27,Railway Station,Press Colony
27A,Gandhipuram,ldigarai
27B,Ukkadam,Press Colony
28,Gandhipuram,Thondamuthur
29,Gandhipuram,Pattanam
30,Ukkadam,Kannampalayam
30A,Gandhi Park,Sulur
30C,Ukkadam Sulur,Aerodrome
30E,Ukkadam,Sulur
30F,Town Hall,Somanur
30G,Ukkadam,Somanur
31,Madukkarai Market,Government Polytechnic
31A,Ondipudur,Madukkarai Market
32,Gandhipuram,Kovanur
32A,Railway Station,Press Colony
328,Ukkadam,Periyanaickampalayam
32C,Railway Station,Samy Chettipalayam
320,Railway Station,Veerapandi
32G,Gandhipuram,Vellamadai
32H,Ukkadam,Kasturipalayam
33,33A,33C,Railway Station,Kinathukadavu
33E,Gandhipuram,Kinathukadavu
330,Railway Station,Kallapuram
33E,Ukkadam,Chettipalayam
33F,Singanallur,Premier Mills
33F,Premier Mills,Sitra
34,Ramanathapuram,Thadagam
35,Avarampalayam,Karadimadai
36,Gandhi Park,Sitra
37,Ukkadam,Kannampalayam
38,Ukkadam,NGGO Colony
38A,Selvapuram,State Bank Colony
38B,Ukkadam,State Bank Colony
3BC,Gandhipuram,Velanthavalam
39,Saibaba Colony,Chinniyampalayam
40,Cherayampalayam,Saibaba Colony
40A,Gandhipuram,Veeripalayam
41,Gandhipuram,Somanur
41A,Gandhipuram,Chellapa Goundanpudur
41C,Ukkadam,Karumathampati
42,Town Hall,lrugur
42A,Town Hall,Neelambur
43,Saibaba Colony,Neelikonampalayam
43A,Railway Station,Neelampalayam
44,Town Hall,Sowripalayam
44,Pachapalayam,Ponnaiyarajapuram
45,Gandhipuram,Telungupuram
45,Gandhipuram,Vellamadai
45A,Railway Station,Ganesapuram
45C,45E,Gandhipuram,Annur
45D,Gandhipuram,Kempanaickenpalayam
45F,Gandhipuram,Kurukkampalayam
46,Maruthamalai,Ramanathapuram
47,Gandhipuram,Seeralapalayam
47A,Gandhipurarm,Premier Mills
48,Gandhipurarm,Velanthavalam
48A,Ukkadam,Velanthavalam
48B,Gandhipurarm,Kommandamparai
49,Saibaba Colony,,Navakarai
50,Gandhipuram,Kannamanaickenur
51,Gandhipuram,Kanjikonampalayam
52,Ukkadam,Saibaba Colony
53,Srinivasa Nagar,Madukkarai
53,Gandhipuram,Srinivasa Nagar
53A,Gandhipuram,Thithipalayam
54,Gandhipuram,Thondamuthur
55,55A,Gandhipuram,Vellalur
55B,Gandhipuram,Edayarpalayam
56,Gandhipuram,Poiuvampatti
57,Ukkadam,Vellamadai
58,Thadagam Bus Stand,Narasipuram
59,Gandhipuram,Karunya Institute
59A,Railway Station,Alandurai
59B,Molapalayam,Avarampalayam
60,Gandhipuram,Madhampatti
61,Gandhi Park,Sowripalayam
62,Railway Station,Vaiyampalayam
63,Selvapuram,Keeranatham
63,Saravanampatti,Selvapuram
63A,Gandhipuram,Kallipalayam
54,Ukkadam,Ondipudur
64,Gandhipuram,Thondamuthur
65,Gandhipuram,Kannampalayam
66,Gandhipuram,Madukkarai Market
66A,Gandhipuram,Masithi Goundampudur
67,Gandhipuram,Kovaipudur
69,Pattanam,Velandipalayam
69B,Gandhipuram,Peedampalli
70,Gandhipuram,Maruthamalai
71,Kolimedu,Machanaickenpaiayam
71A,Kurichi Housing Unit,Koil Medu
71c,Gandhipuram,Sundarapuram
72,Railway Station,Vellalur
73,73A,Gandhipuram,Chettipalayam
73B,Gandhipuram,Kurichi Housing Unit
74,Gandhipuram,Edayarpalayam
75,Gandhipuram,Irugur
76,Ukkadam,Chinnavedampatti
77,Town Hall,Edayarpalayam
77A,Ukkadam,Kannampalayam
77B,Ukkadam,Edayarpalayam
78,Gandhipuram,Thadagam
78A,78B,Gandhipuram,Anaikatti
79,Selvapuram,Tudhiyalur
80,Edyarpalayam,Ondipudur
81,Gandhipuram,Serayampalayam
81,Gandhipuram,Ponne Goundan Pudur
81A,Gandhipuram,,Kaduvetti
81A,Gandhipuram,Ponne Goundan Pudur
82A,Ukkadam,Vagarayam Palayam
82B,Gandhipuram,Semsampatti
84,Avarampalayam,Malumichampatti
84A,Gandhipuram,Malumichampatti
85,Ukkadam,Thadagam
86,Gandhipuram,Chinnavedampatti
87,Gandhipuram,Koil Palayam
88,R Kalyanamandapam,R Kalyanamandapam
89,89A,Railway Station,Press Colony
90,Ukkadam,Government Poultry Farm
90A,Ukkadam,Somanur
91,91A,KovaiPudur,Saibaba Colony
92,Maruthamalai,Cheranpalayam
93,lawley Road,Kulathur
94,Gandhipuram,Periyanaickampalayam
94A,PSG Arts College,Kalikanaickenpalayam
95,Gandhipuram,Singanallur
96,Gandhipuram,Valayar
9lq,Ukkadam,Chinna Thadagam
98,Ukkadam,Pachapalayam
98A,Ukkadam,Vagarayam Palayam
99,Gandhipuram,Thondamuthur
100,Ukkadam,Velanthavalarn
101,Gandhipuram,Kumittipathy
101A,Saibaba Colony,Kaliapuram
102A,Gandhipuram,Karamadai
103,Puliyakulam,Veprapandipudur
104A,Ukkadam,patyainpalayam
105,Ukkadam,Kojangipalayam
105C,Gandhipuram,Karatiampettai
106,Town Hall,Kinathukadavu
106A,Railway Station,Kinathukadavu
106B,Railway Station,Koil Palayam
107,KovaiPudur,SIHS Colony
108,Ukkadam,Chinnakuili
109,Ondipudur,Saibaba Colony
110A,Kurumbapalayam,Saibaba Colony
110B,Singanallur ESI,Kurumba Palayam
111,Gandhipuram,Gandhipuram
112,Ukkadam,Goves-rrnent ITI
113,Onidpudur,Keeranatham
S1,Ondipudur,Maniakarampalayam
S2,Uppilipalayam,Kandakavundan Chavadi
S3,Chittipalayam,Varadharajapuram
S4,Uppilipalayam,Mathipalayam
S5,Singanallur,Thirumalayampalayam
S6,ESI Hospital,Vellakinaru
S7,KovaiPudur,Ondipudur
S8,PSG Arts College,Perur
S9B,Ondipudur,Sankara Polytechnic
S10,Ondipudur,Udaiyampalayam
S12,Maruthamalai,Masakalipalayam
S13,ESI Hospital,Maruthamalai
S14,KovaiPudur,Avarampalayam
S15,Singanallur,Maruthamalai
S16,Singanallur,Telungupalayam
S17,KovaiPudur,Avarampalayam
S17,Gandhipuram,Perur
S18,Singanallur,NGGO Colony
S19,PSG Arts College,Vellalur
S20,Singanallur,Chelakaraichal
S21,Periyanaickenpalayam,Krishnammal College
S22,ESI, Hospital,Chettipalayam
S23,Cheranmaanagar,Ondipudur
S24,Ondipudur,Kasi Nanje Coundanpudur
S25,KovaiPudur,Singanallur
S26,Nanjundapuram,Maruthamalai
S27,Singanallur,Sultanpettai
S28,ESI Hospital,Chelakaraichal
S29,Thudiyalur,Singanallur
S30,KovaiPudur,Krishnammal College